Date : 2023-12-29 18:45:13
Directory : /Users/yufei/Documents/ETH 2024spring/12306
Total : 486 files,  135494 codes, 13442 comments, 4613 blanks, all 153549 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| resources/data                                                                                                                                                                                                       |          3 |    110,778 |          0 |         28 |    110,806 |
| resources/db                                                                                                                                                                                                         |          5 |      7,468 |          0 |        291 |      7,759 |
| services                                                                                                                                                                                                             |        328 |     12,310 |      9,926 |      3,002 |     25,238 |
| services (Files)                                                                                                                                                                                                     |          1 |         30 |          0 |          5 |         35 |
| services/aggregation-service                                                                                                                                                                                         |          5 |        451 |         21 |         27 |        499 |
| services/aggregation-service (Files)                                                                                                                                                                                 |          1 |         58 |          0 |          9 |         67 |
| services/aggregation-service/src                                                                                                                                                                                     |          4 |        393 |         21 |         18 |        432 |
| services/aggregation-service/src/main                                                                                                                                                                                |          4 |        393 |         21 |         18 |        432 |
| services/aggregation-service/src/main/java                                                                                                                                                                           |          1 |         32 |         21 |          5 |         58 |
| services/aggregation-service/src/main/java/org                                                                                                                                                                       |          1 |         32 |         21 |          5 |         58 |
| services/aggregation-service/src/main/java/org/opengoofy                                                                                                                                                             |          1 |         32 |         21 |          5 |         58 |
| services/aggregation-service/src/main/java/org/opengoofy/index12306                                                                                                                                                  |          1 |         32 |         21 |          5 |         58 |
| services/aggregation-service/src/main/java/org/opengoofy/index12306/biz                                                                                                                                              |          1 |         32 |         21 |          5 |         58 |
| services/aggregation-service/src/main/java/org/opengoofy/index12306/biz/aggregationservice                                                                                                                           |          1 |         32 |         21 |          5 |         58 |
| services/aggregation-service/src/main/resources                                                                                                                                                                      |          3 |        361 |          0 |         13 |        374 |
| services/gateway-service                                                                                                                                                                                             |         10 |        335 |        153 |         67 |        555 |
| services/gateway-service (Files)                                                                                                                                                                                     |          1 |         83 |          3 |         15 |        101 |
| services/gateway-service/src                                                                                                                                                                                         |          9 |        252 |        150 |         52 |        454 |
| services/gateway-service/src/main                                                                                                                                                                                    |          8 |        243 |        134 |         47 |        424 |
| services/gateway-service/src/main/java                                                                                                                                                                               |          5 |        140 |        133 |         37 |        310 |
| services/gateway-service/src/main/java/org                                                                                                                                                                           |          5 |        140 |        133 |         37 |        310 |
| services/gateway-service/src/main/java/org/opengoofy                                                                                                                                                                 |          5 |        140 |        133 |         37 |        310 |
| services/gateway-service/src/main/java/org/opengoofy/index12306                                                                                                                                                      |          5 |        140 |        133 |         37 |        310 |
| services/gateway-service/src/main/java/org/opengoofy/index12306/biz                                                                                                                                                  |          5 |        140 |        133 |         37 |        310 |
| services/gateway-service/src/main/java/org/opengoofy/index12306/biz/gatewayservice                                                                                                                                   |          5 |        140 |        133 |         37 |        310 |
| services/gateway-service/src/main/java/org/opengoofy/index12306/biz/gatewayservice (Files)                                                                                                                           |          1 |          9 |         21 |          5 |         35 |
| services/gateway-service/src/main/java/org/opengoofy/index12306/biz/gatewayservice/config                                                                                                                            |          1 |          7 |         24 |          6 |         37 |
| services/gateway-service/src/main/java/org/opengoofy/index12306/biz/gatewayservice/filter                                                                                                                            |          1 |         58 |         25 |         11 |         94 |
| services/gateway-service/src/main/java/org/opengoofy/index12306/biz/gatewayservice/toolkit                                                                                                                           |          2 |         66 |         63 |         15 |        144 |
| services/gateway-service/src/main/resources                                                                                                                                                                          |          3 |        103 |          1 |         10 |        114 |
| services/gateway-service/src/test                                                                                                                                                                                    |          1 |          9 |         16 |          5 |         30 |
| services/gateway-service/src/test/java                                                                                                                                                                               |          1 |          9 |         16 |          5 |         30 |
| services/gateway-service/src/test/java/org                                                                                                                                                                           |          1 |          9 |         16 |          5 |         30 |
| services/gateway-service/src/test/java/org/opengoofy                                                                                                                                                                 |          1 |          9 |         16 |          5 |         30 |
| services/gateway-service/src/test/java/org/opengoofy/index12306                                                                                                                                                      |          1 |          9 |         16 |          5 |         30 |
| services/gateway-service/src/test/java/org/opengoofy/index12306/biz                                                                                                                                                  |          1 |          9 |         16 |          5 |         30 |
| services/gateway-service/src/test/java/org/opengoofy/index12306/biz/gatewayservice                                                                                                                                   |          1 |          9 |         16 |          5 |         30 |
| services/order-service                                                                                                                                                                                               |         52 |      1,715 |      1,650 |        509 |      3,874 |
| services/order-service (Files)                                                                                                                                                                                       |          1 |        118 |          5 |         22 |        145 |
| services/order-service/src                                                                                                                                                                                           |         51 |      1,597 |      1,645 |        487 |      3,729 |
| services/order-service/src/main                                                                                                                                                                                      |         50 |      1,564 |      1,629 |        481 |      3,674 |
| services/order-service/src/main/java                                                                                                                                                                                 |         48 |      1,409 |      1,628 |        473 |      3,510 |
| services/order-service/src/main/java/org                                                                                                                                                                             |         48 |      1,409 |      1,628 |        473 |      3,510 |
| services/order-service/src/main/java/org/opengoofy                                                                                                                                                                   |         48 |      1,409 |      1,628 |        473 |      3,510 |
| services/order-service/src/main/java/org/opengoofy/index12306                                                                                                                                                        |         48 |      1,409 |      1,628 |        473 |      3,510 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz                                                                                                                                                    |         48 |      1,409 |      1,628 |        473 |      3,510 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice                                                                                                                                       |         48 |      1,409 |      1,628 |        473 |      3,510 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice (Files)                                                                                                                               |          1 |         15 |         21 |          5 |         41 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/common                                                                                                                                |          6 |         93 |        198 |         67 |        358 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/common/constant                                                                                                                       |          1 |         10 |         42 |         10 |         62 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/common/enums                                                                                                                          |          5 |         83 |        156 |         57 |        296 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/controller                                                                                                                            |          1 |         57 |         42 |         13 |        112 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dao                                                                                                                                   |          8 |        225 |        273 |         86 |        584 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dao/algorithm                                                                                                                         |          2 |        132 |         42 |         26 |        200 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dao/entity                                                                                                                            |          3 |         78 |        168 |         48 |        294 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dao/mapper                                                                                                                            |          3 |         15 |         63 |         12 |         90 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dto                                                                                                                                   |         11 |        175 |        438 |        117 |        730 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dto/domain                                                                                                                            |          2 |         31 |         63 |         16 |        110 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dto/req                                                                                                                               |          6 |         62 |        207 |         52 |        321 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dto/resp                                                                                                                              |          3 |         82 |        168 |         49 |        299 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/mq                                                                                                                                    |          9 |        294 |        300 |         86 |        680 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/mq/consumer                                                                                                                           |          2 |        118 |         42 |         13 |        173 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/mq/domain                                                                                                                             |          1 |         23 |         33 |         10 |         66 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/mq/event                                                                                                                              |          3 |         56 |        124 |         35 |        215 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/mq/produce                                                                                                                            |          3 |         97 |        101 |         28 |        226 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/remote                                                                                                                                |          2 |         29 |         81 |         21 |        131 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/remote (Files)                                                                                                                        |          1 |         12 |         24 |          5 |         41 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/remote/dto                                                                                                                            |          1 |         17 |         57 |         16 |         90 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/serialize                                                                                                                             |          2 |         26 |         42 |         12 |         80 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/service                                                                                                                               |          8 |        495 |        233 |         66 |        794 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/service (Files)                                                                                                                       |          3 |         36 |        117 |         22 |        175 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/service/impl                                                                                                                          |          3 |        386 |         67 |         28 |        481 |
| services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/service/orderid                                                                                                                       |          2 |         73 |         49 |         16 |        138 |
| services/order-service/src/main/resources                                                                                                                                                                            |          2 |        155 |          1 |          8 |        164 |
| services/order-service/src/test                                                                                                                                                                                      |          1 |         33 |         16 |          6 |         55 |
| services/order-service/src/test/java                                                                                                                                                                                 |          1 |         33 |         16 |          6 |         55 |
| services/order-service/src/test/java/org                                                                                                                                                                             |          1 |         33 |         16 |          6 |         55 |
| services/order-service/src/test/java/org/opengoofy                                                                                                                                                                   |          1 |         33 |         16 |          6 |         55 |
| services/order-service/src/test/java/org/opengoofy/index12306                                                                                                                                                        |          1 |         33 |         16 |          6 |         55 |
| services/order-service/src/test/java/org/opengoofy/index12306/biz                                                                                                                                                    |          1 |         33 |         16 |          6 |         55 |
| services/order-service/src/test/java/org/opengoofy/index12306/biz/orderservice                                                                                                                                       |          1 |         33 |         16 |          6 |         55 |
| services/pay-service                                                                                                                                                                                                 |         66 |      1,829 |      2,042 |        603 |      4,474 |
| services/pay-service (Files)                                                                                                                                                                                         |          1 |        115 |          4 |         20 |        139 |
| services/pay-service/src                                                                                                                                                                                             |         65 |      1,714 |      2,038 |        583 |      4,335 |
| services/pay-service/src/main                                                                                                                                                                                        |         64 |      1,682 |      2,022 |        576 |      4,280 |
| services/pay-service/src/main/java                                                                                                                                                                                   |         62 |      1,577 |      2,021 |        567 |      4,165 |
| services/pay-service/src/main/java/org                                                                                                                                                                               |         62 |      1,577 |      2,021 |        567 |      4,165 |
| services/pay-service/src/main/java/org/opengoofy                                                                                                                                                                     |         62 |      1,577 |      2,021 |        567 |      4,165 |
| services/pay-service/src/main/java/org/opengoofy/index12306                                                                                                                                                          |         62 |      1,577 |      2,021 |        567 |      4,165 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz                                                                                                                                                      |         62 |      1,577 |      2,021 |        567 |      4,165 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice                                                                                                                                           |         62 |      1,577 |      2,021 |        567 |      4,165 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice (Files)                                                                                                                                   |          1 |         15 |         21 |          5 |         41 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/common                                                                                                                                    |          5 |        111 |        169 |         52 |        332 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/common/constant                                                                                                                           |          1 |          6 |         30 |          6 |         42 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/common/enums                                                                                                                              |          4 |        105 |        139 |         46 |        290 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/config                                                                                                                                    |          1 |         18 |         47 |         13 |         78 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/controller                                                                                                                                |          3 |         89 |         88 |         22 |        199 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/convert                                                                                                                                   |          3 |         49 |         81 |         18 |        148 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dao                                                                                                                                       |          6 |        189 |        226 |         76 |        491 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dao/algorithm                                                                                                                             |          2 |        128 |         42 |         25 |        195 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dao/entity                                                                                                                                |          2 |         51 |        142 |         43 |        236 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dao/mapper                                                                                                                                |          2 |         10 |         42 |          8 |         60 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto                                                                                                                                       |         21 |        311 |        691 |        187 |      1,189 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto (Files)                                                                                                                               |         10 |        125 |        359 |         96 |        580 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base                                                                                                                                  |         11 |        186 |        332 |         91 |        609 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler                                                                                                                                   |          6 |        214 |        143 |         42 |        399 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler (Files)                                                                                                                           |          3 |        197 |         63 |         27 |        287 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler/base                                                                                                                              |          3 |         17 |         80 |         15 |        112 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq                                                                                                                                        |          7 |        195 |        239 |         69 |        503 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/domain                                                                                                                                 |          1 |         23 |         33 |         10 |         66 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/event                                                                                                                                  |          2 |         40 |         88 |         23 |        151 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/produce                                                                                                                                |          4 |        132 |        118 |         36 |        286 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/remote                                                                                                                                    |          3 |         55 |        132 |         35 |        222 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/remote (Files)                                                                                                                            |          1 |         11 |         27 |          5 |         43 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/remote/dto                                                                                                                                |          2 |         44 |        105 |         30 |        179 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service                                                                                                                                   |          6 |        331 |        184 |         48 |        563 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service (Files)                                                                                                                           |          2 |         20 |         77 |         13 |        110 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service/impl                                                                                                                              |          2 |        238 |         58 |         19 |        315 |
| services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service/payid                                                                                                                             |          2 |         73 |         49 |         16 |        138 |
| services/pay-service/src/main/resources                                                                                                                                                                              |          2 |        105 |          1 |          9 |        115 |
| services/pay-service/src/test                                                                                                                                                                                        |          1 |         32 |         16 |          7 |         55 |
| services/pay-service/src/test/java                                                                                                                                                                                   |          1 |         32 |         16 |          7 |         55 |
| services/pay-service/src/test/java/org                                                                                                                                                                               |          1 |         32 |         16 |          7 |         55 |
| services/pay-service/src/test/java/org/opengoofy                                                                                                                                                                     |          1 |         32 |         16 |          7 |         55 |
| services/pay-service/src/test/java/org/opengoofy/index12306                                                                                                                                                          |          1 |         32 |         16 |          7 |         55 |
| services/pay-service/src/test/java/org/opengoofy/index12306/biz                                                                                                                                                      |          1 |         32 |         16 |          7 |         55 |
| services/pay-service/src/test/java/org/opengoofy/index12306/biz/payservice                                                                                                                                           |          1 |         32 |         16 |          7 |         55 |
| services/ticket-service                                                                                                                                                                                              |        139 |      6,419 |      4,434 |      1,326 |     12,179 |
| services/ticket-service (Files)                                                                                                                                                                                      |          1 |        125 |          3 |         24 |        152 |
| services/ticket-service/src                                                                                                                                                                                          |        138 |      6,294 |      4,431 |      1,302 |     12,027 |
| services/ticket-service/src/main                                                                                                                                                                                     |        133 |      5,730 |      4,321 |      1,249 |     11,300 |
| services/ticket-service/src/main/java                                                                                                                                                                                |        129 |      5,553 |      4,305 |      1,227 |     11,085 |
| services/ticket-service/src/main/java/org                                                                                                                                                                            |        129 |      5,553 |      4,305 |      1,227 |     11,085 |
| services/ticket-service/src/main/java/org/opengoofy                                                                                                                                                                  |        129 |      5,553 |      4,305 |      1,227 |     11,085 |
| services/ticket-service/src/main/java/org/opengoofy/index12306                                                                                                                                                       |        129 |      5,553 |      4,305 |      1,227 |     11,085 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz                                                                                                                                                   |        129 |      5,553 |      4,305 |      1,227 |     11,085 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice                                                                                                                                     |        129 |      5,553 |      4,305 |      1,227 |     11,085 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice (Files)                                                                                                                             |          1 |         15 |         21 |          5 |         41 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/canal                                                                                                                               |          2 |        118 |         42 |         18 |        178 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common                                                                                                                              |         13 |        284 |        531 |        168 |        983 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/constant                                                                                                                     |          3 |         42 |        162 |         42 |        246 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums                                                                                                                        |         10 |        242 |        369 |        126 |        737 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/config                                                                                                                              |          1 |         27 |         26 |          6 |         59 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/controller                                                                                                                          |          4 |        159 |        114 |         34 |        307 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao                                                                                                                                 |         18 |        217 |        606 |        152 |        975 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity                                                                                                                          |          9 |        167 |        411 |        113 |        691 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper                                                                                                                          |          9 |         50 |        195 |         39 |        284 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto                                                                                                                                 |         22 |        283 |        807 |        212 |      1,302 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain                                                                                                                          |          9 |        136 |        399 |        109 |        644 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/req                                                                                                                             |          6 |         60 |        180 |         45 |        285 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp                                                                                                                            |          7 |         87 |        228 |         58 |        373 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/job                                                                                                                                 |          5 |        299 |        116 |         44 |        459 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/job (Files)                                                                                                                         |          4 |        257 |         90 |         36 |        383 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/job/base                                                                                                                            |          1 |         42 |         26 |          8 |         76 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq                                                                                                                                  |          7 |        288 |        253 |         79 |        620 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/consumer                                                                                                                         |          3 |        204 |         64 |         24 |        292 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/domain                                                                                                                           |          1 |         23 |         33 |         10 |         66 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/event                                                                                                                            |          3 |         61 |        156 |         45 |        262 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote                                                                                                                              |         11 |        188 |        444 |        118 |        750 |
| services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote (Files)                                                                                                                      |          3 |         56 |         99 |         22 |        177 |
